add.POSIXct,viz_owner_repo,commit.POSIXct,source,title
2023-10-28T05:42:48.192757Z,tdhock/necromass-figure-one-network,2023-10-27T23:58:42Z,https://github.com/tdhock/necromass/blob/main/figure-one-network.R,bacteria_fungi_conservative visualization
2023-11-05T06:26:34.493608Z,tdhock/2023-08-interval-regression-BIC-vs-learned,2023-11-05T06:21:24Z,https://github.com/tdhock/change-tutorial/blob/master/figure-regression-interactive.R,BIC versus learned penalty in neuroblastoma data
2023-11-07T22:56:19.242054Z,tdhock/2023-11-interval-regression-differences,2023-11-07T22:56:01Z,https://github.com/tdhock/change-tutorial/blob/master/figure-differences-interactive.R,AIC/BIC change-point detection comparison using ROC curves
2023-11-15T23:13:36.851599Z,EngineerDanny/EngineerDanny-necromass-figure-one-network,2023-11-08T15:46:32Z,https://github.com/tdhock/necromass/blob/main/figure-one-network.Rmd,bacteria_fungi_conservative visualization
2023-11-15T23:18:03.715755Z,tdhock/2019-01-nearest-neighbors-cross-validation,2023-11-15T23:17:57Z,https://github.com/tdhock/cs499-spring2019/blob/master/2019-01-17-nearest-neighbors/viz-4folds.R,4 fold cross-validation
2023-11-15T23:32:21.057555Z,tdhock/2019-01-nearest-neighbors-classification-1d,2023-11-15T23:32:03Z,https://github.com/tdhock/cs499-spring2019/blob/master/2019-01-17-nearest-neighbors/viz-class-1d.R,Nearest neighbors algorithm for classification
2023-11-15T23:41:53.961257Z,tdhock/2023-01-regression-2d,2023-11-15T23:41:10Z,https://github.com/tdhock/cs499-spring2019/blob/master/2019-01-17-nearest-neighbors/viz-ozone-test.R,Nearest neighbors for regression with 2D inputs
2023-11-15T23:52:22.307345Z,tdhock/2019-01-nearest-neighbor-regression-one-split,2023-11-15T23:51:55Z,https://github.com/tdhock/cs499-spring2019/blob/master/2019-01-17-nearest-neighbors/viz.R,Nearest neighbors algorithm for regression
2023-11-16T18:38:19.160872Z,tdhock/2020-02-03-capacity-polynomial-degree,2023-11-16T18:36:26Z,https://github.com/tdhock/cs499-spring2020/blob/master/2020-02-03-capacity/figure-quadratic-interactive.R,Overfitting using linear model polynomial degree
2023-11-16T19:43:47.250852Z,tdhock/2019-02-14-L2-regularization,2023-11-16T19:43:22Z,https://github.com/tdhock/cs499-spring2019/blob/master/2019-02-14-L2-regularization/viz.R,L2-regularized (Ridge) least squares linear regression
2023-11-16T19:43:47.250852Z,tdhock/2019-02-05-linear-regression-1d-grad-desc-ozone-steps,2023-11-16T19:36:32Z,https://github.com/tdhock/cs499-spring2019/blob/master/2019-02-05-linear-regression/viz.step.size.R,Gradient descent with several step sizes for 1d linear regression in ozone data
2023-11-16T19:43:47.250852Z,tdhock/2019-02-05-linear-regression-1d-grad-desc-ozone,2023-11-16T19:05:41Z,https://github.com/tdhock/cs499-spring2019/blob/master/2019-02-05-linear-regression/viz.R,Gradient descent for 1d linear regression in ozone data
2023-11-17T20:33:25.003972Z,tdhock/2020-02-13-variable-importance-Sugar-Maple,2023-11-17T20:33:16Z,https://github.com/tdhock/species-variable-selection/blob/master/figure-batchtools-expired-earth.R,Sugar Maple accuracy and variable selection
2023-11-17T20:33:25.003972Z,tdhock/2020-02-13-variable-importance-Table-Mountain-Pine,2023-11-17T20:33:19Z,https://github.com/tdhock/species-variable-selection/blob/master/figure-batchtools-expired-earth.R,Table Mountain Pine accuracy and variable selection
2023-11-17T20:33:25.003972Z,tdhock/2020-02-13-roc-vs-error-Sugar-Maple,2023-11-17T20:33:12Z,https://github.com/tdhock/species-variable-selection/blob/master/figure-batchtools-expired-earth.R,Sugar Maple ROC curves and error/accuracy metrics
2023-11-17T20:33:25.003972Z,tdhock/2020-02-13-roc-vs-error-Table-Mountain-Pine,2023-11-17T20:33:14Z,https://github.com/tdhock/species-variable-selection/blob/master/figure-batchtools-expired-earth.R,Table Mountain Pine ROC curves and error/accuracy metrics
2023-11-22T06:11:54.465446Z,tdhock/2023-11-21-auc-improved,2023-11-22T06:10:57Z,https://github.com/tdhock/max-generalized-auc/blob/master/figure-auc-improved-interactive.R,Initial/optimized AUM/AUC for change-point problems
2023-12-04T19:21:06.806136Z,tdhock/2023-12-04-capacity-polynomial-degree-several-patterns,2023-12-04T19:19:43Z,https://github.com/tdhock/cs499-spring2020/blob/master/2020-02-03-capacity/figure-quadratic-interactive.R,Overfitting using linear model polynomial degree
